,current_step,rel_equity_losses,system_equity_pre_shock,system_debt,system_equity_losses,system_cash_reserves,system_assets,cum_equity_losses,system_TAS,system_equity,equity_to_pre_shock,asset_class,shock
146,2,0.000519288,3.45e+11,4.31e+12,-179249353.6,44111479120.0,4.5e+12,0.450827974,-2442067052.0,1.9e+11,0.549172026,m_14,-0.331997607
147,3,1.79e-05,3.45e+11,4.31e+12,-6177419.399,44018895997.0,4.5e+12,0.451239417,-93082321.56,1.89e+11,0.548760583,m_14,-0.331997607
148,4,7.1e-07,3.45e+11,4.31e+12,-245157.9054,44015754258.0,4.5e+12,0.451254534,-3817390.039,1.89e+11,0.548745466,m_14,-0.331997607
149,5,2.95e-08,3.45e+11,4.31e+12,-10189.79321,44015629418.0,4.5e+12,0.451255148,-160156.0239,1.89e+11,0.548744852,m_14,-0.331997607
150,6,1.24e-09,3.45e+11,4.31e+12,-429.1409462,44015624227.0,4.5e+12,0.451255173,-6762.16155,1.89e+11,0.548744827,m_14,-0.331997607
151,7,5.25e-11,3.45e+11,4.31e+12,-18.13825886,44015624009.0,4.5e+12,0.451255175,-286.0093198,1.89e+11,0.548744825,m_14,-0.331997607
152,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.188219472
153,1,0.010686692,3.45e+11,4.35e+12,-3688863263.0,78748843157.0,4.61e+12,0.24786516,-48747402365.0,2.6e+11,0.75213484,m_14,-0.188219472
154,2,0.000246168,3.45e+11,4.35e+12,-84973071.67,76562082395.0,4.6e+12,0.257002946,-992754116.3,2.56e+11,0.742997054,m_14,-0.188219472
155,3,5.37e-06,3.45e+11,4.35e+12,-1852380.01,76505408319.0,4.6e+12,0.257196511,-21293658.96,2.56e+11,0.742803489,m_14,-0.188219472
156,4,1.16e-07,3.45e+11,4.35e+12,-40085.66096,76504195068.0,4.6e+12,0.257200685,-458144.7649,2.56e+11,0.742799315,m_14,-0.188219472
157,5,2.51e-09,3.45e+11,4.35e+12,-865.1150389,76504168905.0,4.6e+12,0.257200775,-9863.093843,2.56e+11,0.742799225,m_14,-0.188219472
158,6,5.4e-11,3.45e+11,4.35e+12,-18.6489373,76504168341.0,4.6e+12,0.257200777,-212.3855093,2.56e+11,0.742799223,m_14,-0.188219472
159,7,1.16e-12,3.45e+11,4.35e+12,-0.401804125,76504168329.0,4.6e+12,0.257200777,-4.57383501,2.56e+11,0.742799223,m_14,-0.188219472
160,0,0.0,3.45e+11,4.4e+12,0.0,1.21e+11,4.74e+12,0.0,0.0,3.45e+11,1.0,m_14,-0.111556039
161,1,0.005537277,3.45e+11,4.37e+12,-1911373439.0,95636451315.0,4.67e+12,0.147992169,-26821581504.0,2.94e+11,0.852007831,m_14,-0.111556039
162,2,0.000116038,3.45e+11,4.37e+12,-40054191.31,94296289816.0,4.66e+12,0.153040014,-570205499.2,2.92e+11,0.846959986,m_14,-0.111556039
163,3,2.63e-06,3.45e+11,4.37e+12,-908073.4484,94262111450.0,4.66e+12,0.153146883,-12950789.41,2.92e+11,0.846853117,m_14,-0.111556039
164,4,6.03e-08,3.45e+11,4.37e+12,-20803.21843,94261362536.0,4.66e+12,0.153149309,-296755.4402,2.92e+11,0.846850691,m_14,-0.111556039
